#,id,users_id,workout_datetime,L_max_speed,R_max_speed,L_max_force,R_max_force,L_avr_speed,R_avr_speed,L_avr_force,R_avr_force,weight_value,speed_value,set_seq,reps,workouttime,breaktime,workouttype_code
366,67209,100000344,1673859736,1002.00,1002.00,0.00,0.00,645.71,645.62,12.18,12.25,25.00,0.00,3,15,383,44,2
367,67210,100000344,1673859806,1001.00,1002.00,0.00,0.00,608.29,608.18,11.80,12.14,25.00,0.00,4,10,453,48,2
368,67211,100000344,1673859861,979.00,980.00,0.00,0.00,577.51,577.57,12.00,12.12,25.00,0.00,5,10,507,31,2
369,67212,100000344,1673859949,1000.00,1000.00,0.00,0.00,587.90,587.74,12.04,12.10,25.00,0.00,6,10,596,66,2
370,67213,100000344,1673860003,1003.00,1003.00,0.00,0.00,689.80,689.71,9.81,9.83,20.00,0.00,7,15,650,26,2
371,67214,100000344,1673860155,1003.00,1003.00,0.00,0.00,735.84,735.79,10.30,10.05,20.00,0.00,8,15,802,124,2
372,67216,100000344,1673860434,806.00,806.00,0.00,0.00,351.97,351.67,7.53,7.63,15.00,0.00,1,10,235,211,6
373,67218,100000344,1673860504,984.00,984.00,0.00,0.00,425.20,424.86,5.91,6.02,12.00,0.00,2,16,305,38,6
374,67219,100000344,1673860605,985.00,986.00,0.00,0.00,454.12,453.78,5.99,6.15,12.00,0.00,3,16,405,63,6
375,67324,100000344,1673941579,928.00,928.00,0.00,0.00,527.78,527.52,14.34,14.62,30.00,0.00,1,10,124,99,2
376,67325,100000344,1673941636,1002.00,1002.00,0.00,0.00,497.75,497.75,13.93,14.51,30.00,0.00,2,10,181,32,2
377,67326,100000344,1673941698,1002.00,1002.00,0.00,0.00,531.22,530.90,13.79,14.47,30.00,0.00,3,9,243,41,2
378,67329,100000344,1673941803,1003.00,1003.00,0.00,0.00,732.81,732.84,10.14,10.39,20.00,0.00,4,10,348,84,2
379,67332,100000344,1673941912,1002.00,1002.00,0.00,0.00,611.38,611.22,5.64,5.06,10.00,0.00,1,16,101,79,6
380,67333,100000344,1673941974,1003.00,1002.00,0.00,0.00,648.22,648.01,6.47,6.04,12.00,0.00,2,16,162,37,6
381,67526,100000344,1674023241,954.00,953.00,0.00,0.00,575.98,575.76,13.89,14.14,30.00,0.00,1,10,85,63,2
382,67527,100000344,1674023394,1001.00,1001.00,0.00,0.00,599.51,599.52,13.95,13.97,30.00,0.00,2,10,238,130,2
383,67528,100000344,1674023528,1001.00,1002.00,0.00,0.00,585.66,585.92,14.07,13.84,30.00,0.00,3,10,372,112,2
384,67529,100000344,1674023604,997.00,999.00,0.00,0.00,535.06,535.06,14.06,14.01,30.00,0.00,4,10,447,52,2
385,67530,100000344,1674023683,1001.00,1001.00,0.00,0.00,502.39,502.41,13.69,13.76,30.00,0.00,5,10,527,56,2
386,67531,100000344,1674023811,1002.00,1003.00,0.00,0.00,562.40,562.30,13.93,14.08,30.00,0.00,6,10,654,104,2
387,67532,100000344,1674023925,1002.00,1002.00,0.00,0.00,539.23,539.13,14.08,14.30,30.00,0.00,7,10,769,91,2
388,67533,100000344,1674024024,1002.00,1003.00,0.00,0.00,608.02,608.10,12.15,12.38,25.00,0.00,8,15,868,69,2
389,67534,100000344,1674024111,1001.00,1001.00,0.00,0.00,590.00,589.84,12.18,12.43,25.00,0.00,9,15,955,57,2
390,67535,100000344,1674024501,828.00,828.00,0.00,0.00,387.14,387.07,7.65,7.42,15.00,0.00,1,13,222,195,6
391,67536,100000344,1674024604,877.00,877.00,0.00,0.00,477.63,477.22,7.42,7.80,15.00,0.00,2,13,325,79,6
392,67692,100000344,1674112420,1003.00,1004.00,0.00,0.00,724.23,724.08,8.31,8.08,15.00,0.00,1,30,111,63,2
393,67695,100000344,1674112529,1003.00,1004.00,0.00,0.00,743.14,743.03,9.02,8.88,17.00,0.00,2,30,220,58,2
394,67697,100000344,1674112647,1003.00,1003.00,0.00,0.00,661.93,661.77,9.35,9.25,18.00,0.00,3,30,338,63,2
395,72955,100000344,1677721915,1003.00,1003.00,0.00,0.00,712.95,712.64,7.71,8.19,15.00,0.00,2,20,64,4,2
396,72956,100000344,1677721993,1003.00,1003.00,0.00,0.00,679.03,678.93,10.33,10.13,20.00,0.00,3,15,142,47,2
397,72957,100000344,1677722093,975.00,975.00,0.00,0.00,542.02,541.87,7.20,7.75,15.00,0.00,4,15,241,65,2
398,72958,100000344,1677722162,756.00,756.00,0.00,0.00,386.46,386.37,7.52,7.54,15.00,0.00,5,15,311,26,2
399,74455,100000344,1678502823,1002.00,1003.00,0.00,0.00,493.95,493.88,6.98,7.33,15.00,0.00,1,13,59,30,2
400,74459,100000344,1678502888,862.00,863.00,0.00,0.00,485.80,485.66,7.47,7.44,15.00,0.00,2,15,124,28,2
401,74462,100000344,1678502982,770.00,771.00,0.00,0.00,429.88,429.77,7.44,7.57,15.00,0.00,3,15,218,54,2
402,74464,100000344,1678503066,753.00,754.00,0.00,0.00,368.79,368.63,10.02,10.13,20.00,0.00,4,13,302,39,2
403,74661,100000344,1678687649,821.00,822.00,0.00,0.00,334.11,334.27,7.19,7.50,15.00,0.00,1,3,64,47,2
404,74663,100000344,1678687714,723.00,723.00,0.00,0.00,318.89,318.52,14.61,14.68,30.00,0.00,2,13,130,24,2
405,74918,100000344,1678783485,0.00,0.00,14.59,14.25,0.00,0.00,8.75,8.54,15.00,30.00,1,12,112,65,2
406,74919,100000344,1678783576,0.00,0.00,17.24,17.39,0.00,0.00,9.17,8.90,15.00,25.00,2,12,203,46,2
407,77150,100000344,1680071343,0.00,0.00,11.78,12.39,0.00,0.00,7.24,6.41,5.00,40.00,1,21,49,11,5
408,77382,100000344,1680161527,823.00,823.00,0.00,0.00,394.23,394.42,7.29,7.52,15.00,0.00,1,13,59,19,2
409,77383,100000344,1680161707,591.00,591.00,0.00,0.00,108.56,108.48,14.73,13.56,35.00,0.00,1,4,38,6,2
410,77384,100000344,1680161981,0.00,0.00,12.33,12.76,0.00,0.00,8.81,9.19,15.00,25.00,2,15,124,6,2
411,77385,100000344,1680162090,0.00,0.00,15.98,17.20,0.00,0.00,10.19,10.32,15.00,25.00,3,12,233,67,2
412,77386,100000344,1680162249,1003.00,1002.00,0.00,0.00,494.42,494.27,7.51,7.60,10.00,0.00,1,50,123,34,2
413,77387,100000344,1680162393,757.00,757.00,0.00,0.00,378.69,378.33,5.31,4.79,10.00,0.00,2,20,135,22,6
414,77388,100000344,1680162512,0.00,0.00,9.58,10.49,0.00,0.00,6.72,6.49,10.00,30.00,1,23,110,65,6
415,77389,100000344,1680162641,0.00,0.00,11.33,11.71,0.00,0.00,6.48,6.40,10.00,30.00,2,31,239,73,6
416,77390,100000344,1680162794,0.00,0.00,10.77,11.55,0.00,0.00,6.30,6.53,10.00,30.00,3,30,392,103,6
417,77391,100000344,1680162960,695.00,694.00,0.00,0.00,246.16,246.04,4.16,5.67,10.00,0.00,1,15,139,92,3
418,77392,100000344,1680163086,0.00,0.00,13.11,11.04,0.00,0.00,7.77,8.48,15.00,30.00,1,19,118,70,3
419,77393,100000344,1680163203,0.00,0.00,17.16,16.22,0.00,0.00,9.80,9.64,15.00,30.00,1,30,83,29,3
420,77753,100000344,1680324362,0.00,0.00,14.28,15.46,0.00,0.00,11.94,12.71,20.00,30.00,1,10,111,73,2
421,77754,100000344,1680324475,0.00,0.00,14.40,15.47,0.00,0.00,11.46,11.94,20.00,30.00,2,12,224,72,2
422,77755,100000344,1680324588,0.00,0.00,13.26,14.84,0.00,0.00,10.83,11.30,20.00,30.00,3,12,337,70,2
423,77756,100000344,1680324692,0.00,0.00,13.78,14.87,0.00,0.00,10.69,10.91,20.00,30.00,4,12,441,59,2
424,77757,100000344,1680324805,0.00,0.00,13.54,15.44,0.00,0.00,10.53,10.81,20.00,30.00,5,12,553,67,2
425,77758,100000344,1680324915,0.00,0.00,9.80,9.34,0.00,0.00,7.30,6.90,10.00,30.00,1,12,100,69,6
426,77759,100000344,1680324983,0.00,0.00,9.09,8.76,0.00,0.00,7.16,6.64,10.00,30.00,2,12,169,36,6
427,77760,100000344,1680325106,0.00,0.00,10.23,10.40,0.00,0.00,7.15,7.14,10.00,30.00,3,12,291,94,6
428,78989,100000344,1681112021,1002.00,1003.00,0.00,0.00,528.64,528.54,7.12,7.35,15.00,0.00,1,13,130,91,2
429,78990,100000344,1681112228,851.00,851.00,0.00,0.00,481.20,480.96,12.16,12.19,25.00,0.00,2,12,337,167,2
430,78991,100000344,1681112378,818.00,817.00,0.00,0.00,363.78,363.60,15.06,14.75,30.00,0.00,4,12,487,72,2
431,24335,100002897,1629456919,950.00,950.00,0.00,0.00,307.46,307.49,3.91,5.64,10.00,0.00,1,7,40,20,3
432,24336,100002897,1629457142,332.00,332.00,0.00,0.00,166.64,166.55,21.34,23.95,60.00,0.00,1,7,44,20,3
433,24337,100002897,1629457195,997.00,996.00,0.00,0.00,299.74,299.61,3.66,5.97,10.00,0.00,1,3,28,15,3
434,24338,100002897,1629457233,324.00,324.00,0.00,0.00,193.59,193.64,24.49,26.15,60.00,0.00,2,8,65,14,3
435,24339,100002897,1629457479,827.00,827.00,0.00,0.00,366.45,366.64,14.34,15.12,30.00,0.00,1,15,52,16,6
436,24340,100002897,1629457560,560.00,560.00,0.00,0.00,221.30,221.47,16.49,16.44,35.00,0.00,2,8,133,54,6
437,24341,100002897,1629457636,284.00,356.00,0.00,0.00,94.47,93.94,11.93,12.60,32.00,0.00,1,4,39,20,6
438,24687,100002897,1630320744,1000.00,1000.00,0.00,0.00,350.63,350.62,10.33,9.61,50.00,0.00,1,11,52,17,6
439,24688,100002897,1630320874,851.00,851.00,0.00,0.00,370.75,370.91,12.44,12.36,25.00,0.00,3,13,182,20,6
440,24689,100002897,1630320976,787.00,787.00,0.00,0.00,318.73,318.69,14.38,14.90,30.00,0.00,4,12,284,68,6
441,24690,100002897,1630321073,0.00,0.00,18.59,17.80,0.00,0.00,14.17,13.97,50.00,25.00,1,3,86,59,6
442,24691,100002897,1630321195,0.00,0.00,17.54,16.81,0.00,0.00,12.66,13.00,30.00,27.00,2,9,208,91,6
443,25405,100002897,1631529696,754.00,754.00,0.00,0.00,217.61,217.63,3.07,6.22,10.00,0.00,1,3,31,13,1
444,25406,100002897,1631529759,754.00,753.00,0.00,0.00,242.38,242.58,19.41,22.12,60.00,0.00,2,9,93,28,1
445,25407,100002897,1631529875,713.00,714.00,0.00,0.00,250.31,250.61,19.93,24.99,60.00,0.00,4,10,209,1,1
446,25408,100002897,1631530011,0.00,0.00,40.66,48.74,0.00,0.00,24.54,30.93,70.00,25.00,2,6,62,3,1
447,25409,100002897,1631530180,999.00,1000.00,0.00,0.00,318.81,318.88,5.36,4.55,10.00,0.00,1,12,64,28,6
448,25410,100002897,1631530225,516.00,515.00,0.00,0.00,262.22,262.37,16.05,16.64,35.00,0.00,2,9,109,14,6
449,25411,100002897,1631530323,594.00,595.00,0.00,0.00,265.39,265.03,15.69,15.94,35.00,0.00,3,10,206,69,6
450,25412,100002897,1631530425,734.00,734.00,0.00,0.00,327.61,327.70,14.17,14.19,30.00,0.00,4,10,309,74,6
451,25413,100002897,1631530525,668.00,668.00,0.00,0.00,258.02,258.19,14.06,14.26,30.00,0.00,5,8,408,74,6
452,25492,100002897,1631615448,1006.00,1005.00,0.00,0.00,436.99,437.12,22.67,24.20,50.00,0.00,2,8,56,7,2
453,25493,100002897,1631615637,902.00,901.00,0.00,0.00,199.88,199.69,25.19,27.51,65.00,0.00,1,4,40,21,3
454,25614,100002897,1631855824,850.00,851.00,0.00,0.00,279.85,279.82,46.31,41.64,110.00,0.00,1,8,43,23,7
455,25615,100002897,1631855985,1000.00,1001.00,0.00,0.00,363.36,363.25,29.20,25.31,60.00,0.00,3,11,205,17,7
456,25616,100002897,1631856142,0.00,0.00,93.78,90.02,0.00,0.00,47.67,47.00,60.00,20.00,1,3,44,31,7
457,25617,100002897,1631856201,0.00,0.00,84.84,83.64,0.00,0.00,53.94,52.54,60.00,20.00,2,8,103,33,7
458,26064,100002897,1632742399,739.00,739.00,0.00,0.00,297.05,297.17,14.53,14.19,30.00,0.00,1,8,52,27,6
459,26065,100002897,1632742473,619.00,620.00,0.00,0.00,317.99,318.20,16.50,16.65,35.00,0.00,2,11,125,45,6
460,26066,100002897,1632742550,657.00,658.00,0.00,0.00,195.56,195.58,16.04,19.00,40.00,0.00,3,7,202,53,6
461,26067,100002897,1632742644,581.00,581.00,0.00,0.00,268.58,268.68,16.51,16.78,38.00,0.00,4,9,296,71,6
462,26272,100002897,1632911232,689.00,688.00,0.00,0.00,230.20,230.26,19.37,18.46,50.00,0.00,2,11,87,9,1
463,26273,100002897,1632911438,687.00,687.00,0.00,0.00,209.87,210.17,24.06,20.10,60.00,0.00,1,8,81,39,1
464,26274,100002897,1632911627,351.00,352.00,0.00,0.00,156.02,156.38,18.62,15.04,75.00,0.00,2,4,56,16,1
465,26275,100002897,1632911766,676.00,675.00,0.00,0.00,191.42,191.52,28.27,25.83,75.00,0.00,2,7,75,13,1
466,26276,100002897,1632911908,634.00,634.00,0.00,0.00,191.34,191.54,27.90,25.14,75.00,0.00,3,7,217,106,1
467,26277,100002897,1632912025,617.00,616.00,0.00,0.00,161.45,161.74,29.27,25.18,80.00,0.00,5,5,334,3,1
468,26278,100002897,1632912305,951.00,951.00,0.00,0.00,303.57,303.81,18.21,17.64,40.00,0.00,1,13,65,12,2
469,26279,100002897,1632912427,755.00,755.00,0.00,0.00,233.58,233.67,17.86,16.58,45.00,0.00,2,11,187,64,2
470,26280,100002897,1632912538,442.00,442.00,0.00,0.00,167.80,167.79,16.43,15.52,45.00,0.00,3,7,298,54,2
471,26430,100002897,1633082604,845.00,844.00,0.00,0.00,234.80,234.86,21.02,22.16,60.00,0.00,3,10,142,3,1
472,26431,100002897,1633082731,673.00,673.00,0.00,0.00,208.37,208.46,25.82,28.07,65.00,0.00,4,7,269,87,1
473,26432,100002897,1633082875,438.00,438.00,0.00,0.00,159.82,160.20,26.48,24.91,85.00,0.00,8,3,413,7,1
474,26648,100002897,1633408039,787.00,787.00,0.00,0.00,330.28,330.63,13.95,14.55,30.00,0.00,1,8,58,36,6
475,26649,100002897,1633408112,683.00,683.00,0.00,0.00,330.48,330.39,16.38,17.32,35.00,0.00,2,11,132,44,6
476,26650,100002897,1633408188,693.00,693.00,0.00,0.00,314.21,314.40,16.09,17.39,35.00,0.00,3,13,207,45,6
477,26682,100002897,1633429601,0.00,0.00,20.33,19.98,0.00,0.00,15.95,15.20,30.00,40.00,1,8,56,28,6
478,26683,100002897,1633429662,0.00,0.00,20.53,20.59,0.00,0.00,15.67,15.14,35.00,25.00,2,6,117,35,6
479,26684,100002897,1633429725,337.00,337.00,0.00,0.00,154.14,154.20,10.91,10.03,40.00,0.00,1,3,56,32,6
480,38031,100002897,1649392833,1001.00,1000.00,0.00,0.00,603.18,603.59,5.00,4.79,10.00,0.00,1,4,50,40,3
481,38032,100002897,1649393060,1002.00,1002.00,0.00,0.00,512.81,559.95,5.88,5.71,5.00,0.00,1,6,34,24,3
482,38067,100002897,1649404726,936.00,937.00,0.00,0.00,364.70,365.18,15.73,17.75,39.00,0.00,1,15,57,28,3
483,38068,100002897,1649404771,595.00,595.00,0.00,0.00,255.20,255.45,15.66,17.93,39.00,0.00,2,10,102,22,3
484,38069,100002897,1649405217,0.00,0.00,26.41,28.48,0.00,0.00,19.30,21.20,30.00,20.00,1,10,240,210,3
485,38070,100002897,1649405602,1003.00,1001.00,0.00,0.00,446.97,481.39,9.49,9.74,10.00,0.00,1,20,34,13,3
486,38071,100002897,1649406291,0.00,0.00,17.44,16.85,0.00,0.00,11.80,11.26,20.00,25.00,2,6,317,12,5
487,38072,100002897,1649406459,0.00,0.00,16.47,13.25,0.00,0.00,8.33,8.75,10.00,30.00,2,11,98,43,5
488,38073,100002897,1649406676,989.00,989.00,0.00,0.00,351.58,351.75,12.57,11.53,25.00,0.00,2,5,40,3,1
489,38074,100002897,1649407002,942.00,942.00,0.00,0.00,416.81,417.01,20.74,20.21,49.00,0.00,1,10,93,62,1
490,38075,100002897,1649407388,0.00,0.00,40.01,38.35,0.00,0.00,24.39,23.27,30.00,30.00,1,8,342,310,1
491,38410,100002897,1649909082,1002.00,1002.00,0.00,0.00,464.43,464.56,17.75,17.69,35.00,0.00,1,12,49,12,2
492,38413,100002897,1649909155,1000.00,1000.00,0.00,0.00,448.41,448.58,19.62,19.78,40.00,0.00,2,10,122,39,2
493,38414,100002897,1649909232,1001.00,1001.00,0.00,0.00,407.70,407.74,20.10,19.91,40.00,0.00,3,7,199,48,2
494,38415,100002897,1649909326,1000.00,1000.00,0.00,0.00,381.22,381.49,15.11,16.09,35.00,0.00,5,9,293,12,2
495,38416,100002897,1649909387,637.00,993.00,0.00,0.00,162.84,371.30,4.96,5.51,5.00,0.00,1,5,31,18,3
496,38417,100002897,1649909426,747.00,963.00,0.00,0.00,89.08,165.92,9.59,14.16,25.00,0.00,2,6,70,20,3
497,38418,100002897,1649909477,791.00,333.00,0.00,0.00,141.08,129.40,12.69,18.57,25.00,0.00,3,13,120,14,3
498,38421,100002897,1649909600,768.00,768.00,0.00,0.00,254.43,254.35,18.56,18.96,40.00,0.00,1,10,51,21,3
499,38423,100002897,1649909695,815.00,815.00,0.00,0.00,219.38,219.42,18.47,18.47,40.00,0.00,2,7,146,70,3
500,38425,100002897,1649909796,938.00,938.00,0.00,0.00,215.31,215.04,18.24,17.37,40.00,0.00,3,7,247,74,3
501,38704,100002897,1650255046,1003.00,1002.00,0.00,0.00,356.63,356.78,15.89,16.36,35.00,0.00,1,14,66,15,2
502,38705,100002897,1650255140,289.00,288.00,0.00,0.00,113.48,113.50,9.39,8.99,35.00,0.00,2,4,159,55,2
503,38706,100002897,1650255229,1003.00,1002.00,0.00,0.00,529.86,530.02,17.90,18.25,35.00,0.00,1,13,52,14,2
504,38707,100002897,1650255339,1002.00,1002.00,0.00,0.00,435.86,436.04,17.64,17.39,35.00,0.00,2,10,162,74,2
505,38709,100002897,1650255451,1001.00,1001.00,0.00,0.00,356.39,356.49,16.96,16.83,35.00,0.00,3,10,275,69,2
506,39039,100002897,1650600890,1003.00,1003.00,0.00,0.00,477.92,478.02,15.80,15.47,30.00,0.00,1,11,75,42,2
507,39040,100002897,1650601008,1003.00,1002.00,0.00,0.00,491.65,491.95,18.27,18.04,35.00,0.00,2,12,193,80,2
508,39041,100002897,1650601104,1002.00,1001.00,0.00,0.00,398.72,398.91,18.59,18.69,40.00,0.00,3,10,289,63,2
509,39042,100002897,1650601249,1001.00,1001.00,0.00,0.00,437.13,437.28,19.19,19.48,40.00,0.00,4,8,435,119,2
510,39224,100002897,1650946796,1002.00,1003.00,0.00,0.00,524.50,525.15,5.62,4.89,20.00,0.00,1,13,63,23,2
511,39226,100002897,1650946851,1003.00,1003.00,0.00,0.00,567.88,568.33,11.13,10.77,35.00,0.00,2,14,117,15,2
512,39228,100002897,1650946919,1003.00,1004.00,0.00,0.00,533.18,533.74,18.01,17.40,35.00,0.00,3,14,186,32,2
513,39230,100002897,1650947050,1003.00,1004.00,0.00,0.00,524.86,525.52,17.80,17.17,35.00,0.00,4,12,317,98,2
514,39231,100002897,1650947143,562.00,562.00,0.00,0.00,186.11,186.59,20.72,19.19,45.00,0.00,5,7,410,67,2
515,39398,100002897,1651118901,1003.00,1004.00,0.00,0.00,517.90,518.66,10.80,10.29,20.00,0.00,1,15,124,84,2
516,39401,100002897,1651118949,1003.00,1003.00,0.00,0.00,548.23,548.98,13.49,13.49,25.00,0.00,2,10,172,19,2
517,39402,100002897,1651119020,1004.00,1004.00,0.00,0.00,594.69,595.30,16.82,16.11,30.00,0.00,3,13,243,37,2
518,39404,100002897,1651119145,1002.00,1003.00,0.00,0.00,491.38,492.11,20.00,19.26,40.00,0.00,4,10,368,97,2
519,39406,100002897,1651119231,1002.00,1003.00,0.00,0.00,448.95,449.67,19.25,19.14,40.00,0.00,5,9,454,58,2
520,39408,100002897,1651119334,1002.00,1002.00,0.00,0.00,450.27,451.04,19.29,19.30,40.00,0.00,6,9,557,76,2
521,39412,100002897,1651119456,1001.00,1001.00,0.00,0.00,448.87,449.40,19.37,18.92,40.00,0.00,7,10,679,95,2
522,39417,100002897,1651119567,1003.00,1003.00,0.00,0.00,479.28,480.00,17.20,16.60,35.00,0.00,8,10,790,84,2
523,39492,100002897,1651205284,1004.00,1003.00,0.00,0.00,613.37,613.47,16.91,16.74,30.00,0.00,1,13,98,70,2
524,39493,100002897,1651205339,1003.00,1003.00,0.00,0.00,604.49,604.71,16.59,16.31,30.00,0.00,2,11,153,29,2
525,39496,100002897,1651205446,1002.00,1002.00,0.00,0.00,524.35,524.51,20.01,19.71,40.00,0.00,3,13,260,76,2
526,39497,100002897,1651205528,1002.00,1002.00,0.00,0.00,466.60,466.76,20.58,20.51,40.00,0.00,4,9,342,55,2
527,39500,100002897,1651205628,1002.00,1003.00,0.00,0.00,503.79,503.79,19.39,18.77,40.00,0.00,5,10,442,73,2
528,39501,100002897,1651205719,1003.00,1002.00,0.00,0.00,453.37,453.40,19.23,18.94,40.00,0.00,6,10,533,63,2
529,39507,100002897,1651205881,1003.00,1003.00,0.00,0.00,493.43,493.42,5.38,5.43,10.00,0.00,1,16,128,93,6
530,39510,100002897,1651205983,1003.00,1003.00,0.00,0.00,553.52,553.51,8.01,8.24,15.00,0.00,2,20,231,64,6
531,39512,100002897,1651206072,1003.00,1003.00,0.00,0.00,490.52,490.52,7.81,8.09,15.00,0.00,3,16,320,56,6
532,39513,100002897,1651206187,1001.00,1001.00,0.00,0.00,408.27,408.18,7.77,7.60,15.00,0.00,4,16,435,76,6
533,39701,100002897,1651464977,1004.00,1003.00,0.00,0.00,684.63,684.80,13.51,13.81,20.00,0.00,1,22,67,24,2
534,39703,100002897,1651465063,1004.00,1003.00,0.00,0.00,647.64,647.81,14.07,14.00,20.00,0.00,2,20,153,43,2
535,39705,100002897,1651465153,1003.00,1002.00,0.00,0.00,538.77,539.01,15.82,16.23,30.00,0.00,3,13,244,57,2
536,39708,100002897,1651465243,1003.00,1002.00,0.00,0.00,525.71,525.82,17.18,17.39,35.00,0.00,4,11,333,59,2
537,39710,100002897,1651465341,1003.00,1002.00,0.00,0.00,480.24,480.46,16.65,16.49,35.00,0.00,5,10,431,70,2
538,39711,100002897,1651465461,1002.00,1002.00,0.00,0.00,468.14,468.34,19.19,18.99,40.00,0.00,6,9,551,94,2
539,39712,100002897,1651465533,1002.00,1001.00,0.00,0.00,486.34,486.58,18.08,18.04,40.00,0.00,7,6,623,53,2
540,39864,100002897,1651551552,1004.00,1003.00,0.00,0.00,532.54,532.71,15.52,16.45,30.00,0.00,1,10,39,12,2
541,39865,100002897,1651551620,1003.00,1003.00,0.00,0.00,572.73,572.85,16.25,16.69,30.00,0.00,2,9,108,43,2
542,39867,100002897,1651551688,1003.00,1002.00,0.00,0.00,512.67,512.77,19.95,19.37,40.00,0.00,3,12,175,37,2
543,39869,100002897,1651551781,1002.00,1002.00,0.00,0.00,449.93,450.15,19.47,18.76,40.00,0.00,4,10,268,63,2
544,39871,100002897,1651551851,964.00,964.00,0.00,0.00,425.10,425.21,21.39,20.21,45.00,0.00,5,8,339,47,2
